Year;Sector;Pollutant;RepShare;CalcShare
2018;GROUP_Agriculture;1;0.00000;1.00000
2018;GROUP_Agriculture;3;0.00000;1.00000
2018;GROUP_Agriculture;5;0.00000;1.00000
2018;GROUP_Agriculture;7;0.00000;1.00000
2018;GROUP_Agriculture;8;0.00000;1.00000
2018;GROUP_Agriculture;12;0.00000;1.00000
2018;GROUP_Agriculture;13;0.00000;1.00000
2018;GROUP_Agriculture;14;0.00000;1.00000
2018;GROUP_Agriculture;15;0.00000;1.00000
2018;GROUP_Agriculture;16;0.00000;1.00000
2018;GROUP_Agriculture;17;0.00000;1.00000
2018;GROUP_Agriculture;18;0.00000;1.00000
2018;GROUP_Agriculture;19;0.00000;1.00000
2018;GROUP_Agriculture;22;0.00000;1.00000
2018;GROUP_Agriculture;25;0.00000;1.00000
2018;GROUP_Agriculture;27;0.00000;1.00000
2018;GROUP_Agriculture;28;0.00000;1.00000
2018;GROUP_Agriculture;29;0.00000;1.00000
2018;GROUP_Agriculture;37;0.00000;1.00000
2018;GROUP_Agriculture;38;0.00000;1.00000
2018;GROUP_Agriculture;43;0.00000;1.00000
2018;GROUP_OtherComb;1;0.00000;1.00000
2018;GROUP_OtherComb;3;0.00000;1.00000
2018;GROUP_OtherComb;4;0.00000;1.00000
2018;GROUP_OtherComb;5;0.00001;0.99999
2018;GROUP_OtherComb;6;0.00012;0.99988
2018;GROUP_OtherComb;7;0.00000;1.00000
2018;GROUP_OtherComb;8;0.00000;1.00000
2018;GROUP_OtherComb;10;0.00000;1.00000
2018;GROUP_OtherComb;11;0.00000;1.00000
2018;GROUP_OtherComb;12;0.00000;1.00000
2018;GROUP_OtherComb;13;0.00000;1.00000
2018;GROUP_OtherComb;14;0.00000;1.00000
2018;GROUP_OtherComb;15;0.00000;1.00000
2018;GROUP_OtherComb;16;0.00207;0.99793
2018;GROUP_OtherComb;17;0.00000;1.00000
2018;GROUP_OtherComb;18;0.00000;1.00000
2018;GROUP_OtherComb;19;0.00000;1.00000
2018;GROUP_OtherComb;22;0.00023;0.99977
2018;GROUP_OtherComb;25;0.00000;1.00000
2018;GROUP_OtherComb;26;0.00000;1.00000
2018;GROUP_OtherComb;27;0.00057;0.99943
2018;GROUP_OtherComb;28;0.00000;1.00000
2018;GROUP_OtherComb;29;0.00000;1.00000
2018;GROUP_OtherComb;30;0.00010;0.99990
2018;GROUP_OtherComb;31;0.00000;1.00000
2018;GROUP_OtherComb;37;0.00000;1.00000
2018;GROUP_OtherComb;38;0.00000;1.00000
2018;GROUP_OtherComb;39;0.00000;1.00000
2018;GROUP_OtherComb;40;0.00000;1.00000
2018;GROUP_OtherComb;43;0.00000;1.00000
2018;GROUP_OtherComb;44;0.00000;1.00000
2018;GROUP_PowerIndustry;1;0.26636;0.73364
2018;GROUP_PowerIndustry;3;0.10908;0.89092
2018;GROUP_PowerIndustry;4;0.15858;0.84142
2018;GROUP_PowerIndustry;5;0.13897;0.86103
2018;GROUP_PowerIndustry;6;0.94353;0.05647
2018;GROUP_PowerIndustry;7;0.39224;0.60776
2018;GROUP_PowerIndustry;8;0.23559;0.76441
2018;GROUP_PowerIndustry;10;0.23010;0.76990
2018;GROUP_PowerIndustry;11;0.32538;0.67462
2018;GROUP_PowerIndustry;12;0.65665;0.34335
2018;GROUP_PowerIndustry;13;0.95809;0.04191
2018;GROUP_PowerIndustry;14;0.59910;0.40090
2018;GROUP_PowerIndustry;15;0.42298;0.57702
2018;GROUP_PowerIndustry;16;0.93100;0.06900
2018;GROUP_PowerIndustry;17;0.14364;0.85636
2018;GROUP_PowerIndustry;18;0.11125;0.88875
2018;GROUP_PowerIndustry;19;0.19332;0.80668
2018;GROUP_PowerIndustry;22;0.89977;0.10023
2018;GROUP_PowerIndustry;25;0.23678;0.76322
2018;GROUP_PowerIndustry;26;0.65112;0.34888
2018;GROUP_PowerIndustry;27;0.59126;0.40874
2018;GROUP_PowerIndustry;28;0.00000;1.00000
2018;GROUP_PowerIndustry;29;0.00000;1.00000
2018;GROUP_PowerIndustry;30;0.76551;0.23449
2018;GROUP_PowerIndustry;31;0.27055;0.72945
2018;GROUP_PowerIndustry;34;1.00000;0.00000
2018;GROUP_PowerIndustry;35;1.00000;0.00000
2018;GROUP_PowerIndustry;36;1.00000;0.00000
2018;GROUP_PowerIndustry;37;0.98015;0.01985
2018;GROUP_PowerIndustry;38;0.76078;0.23922
2018;GROUP_PowerIndustry;40;0.23499;0.76501
2018;GROUP_PowerIndustry;41;1.00000;0.00000
2018;GROUP_PowerIndustry;43;0.00000;1.00000
2018;GROUP_Products;1;0.00000;1.00000
2018;GROUP_Products;3;0.00000;1.00000
2018;GROUP_Products;4;1.00000;0.00000
2018;GROUP_Products;5;0.00000;1.00000
2018;GROUP_Products;6;1.00000;0.00000
2018;GROUP_Products;7;0.00000;1.00000
2018;GROUP_Products;8;0.00000;1.00000
2018;GROUP_Products;12;0.00000;1.00000
2018;GROUP_Products;13;0.29810;0.70190
2018;GROUP_Products;14;0.00000;1.00000
2018;GROUP_Products;15;0.19816;0.80184
2018;GROUP_Products;16;0.00000;1.00000
2018;GROUP_Products;17;0.00000;1.00000
2018;GROUP_Products;18;0.00000;1.00000
2018;GROUP_Products;19;0.00000;1.00000
2018;GROUP_Products;22;0.14149;0.85851
2018;GROUP_Products;25;0.00000;1.00000
2018;GROUP_Products;26;1.00000;0.00000
2018;GROUP_Products;27;0.27108;0.72892
2018;GROUP_Products;28;0.00000;1.00000
2018;GROUP_Products;29;0.00000;1.00000
2018;GROUP_Products;30;1.00000;0.00000
2018;GROUP_Products;37;0.00000;1.00000
2018;GROUP_Products;38;0.00000;1.00000
2018;GROUP_Products;40;0.00000;1.00000
2018;GROUP_Products;43;0.00000;1.00000
2018;GROUP_Transport;1;0.00000;1.00000
2018;GROUP_Transport;3;0.00000;1.00000
2018;GROUP_Transport;4;0.90572;0.09428
2018;GROUP_Transport;5;0.00000;1.00000
2018;GROUP_Transport;6;0.05080;0.94920
2018;GROUP_Transport;7;0.00000;1.00000
2018;GROUP_Transport;8;0.00000;1.00000
2018;GROUP_Transport;10;;
